atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
257,55,left_strip,0.25,0.0,4,L_s,1.1873491262026568,DIVERGENT_INFINITE_LIMIT
257,55,left_strip,0.25,0.0,4,L_1_minus_s,0.6465638300934325,S_q
257,55,left_strip,0.25,0.0,4,difference,0.8177355634833751,NO_COMMON_S_q_CERTIFICATE
257,55,left_strip,0.25,0.0,4,relative_ratio_minus_identity,2.389148966925006,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,critical_real,0.5,0.0,1,L_s,7.866174569150402,DIVERGENT_INFINITE_LIMIT
257,55,critical_real,0.5,0.0,1,L_1_minus_s,7.866174569150402,DIVERGENT_INFINITE_LIMIT
257,55,critical_real,0.5,0.0,1,difference,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_real,0.5,0.0,1,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_real,0.5,0.0,2,L_s,1.4097979474942128,DIVERGENT_INFINITE_LIMIT
257,55,critical_real,0.5,0.0,2,L_1_minus_s,1.4097979474942128,DIVERGENT_INFINITE_LIMIT
257,55,critical_real,0.5,0.0,2,difference,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_real,0.5,0.0,2,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_real,0.5,0.0,4,L_s,0.8197927291889462,S_q
257,55,critical_real,0.5,0.0,4,L_1_minus_s,0.8197927291889462,S_q
257,55,critical_real,0.5,0.0,4,difference,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_real,0.5,0.0,4,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
257,55,critical_imag,0.5,1.0,1,L_s,7.866174569150402,DIVERGENT_INFINITE_LIMIT
257,55,critical_imag,0.5,1.0,1,L_1_minus_s,7.866174569150402,DIVERGENT_INFINITE_LIMIT
257,55,critical_imag,0.5,1.0,1,difference,11.596415986035701,NO_COMMON_S_q_CERTIFICATE
257,55,critical_imag,0.5,1.0,1,relative_ratio_minus_identity,86.28778912386673,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,critical_imag,0.5,1.0,2,L_s,1.4097979474942128,DIVERGENT_INFINITE_LIMIT
257,55,critical_imag,0.5,1.0,2,L_1_minus_s,1.4097979474942128,DIVERGENT_INFINITE_LIMIT
257,55,critical_imag,0.5,1.0,2,difference,2.1546281886122687,NO_COMMON_S_q_CERTIFICATE
257,55,critical_imag,0.5,1.0,2,relative_ratio_minus_identity,12.12535190970953,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,critical_imag,0.5,1.0,4,L_s,0.8197927291889462,S_q
257,55,critical_imag,0.5,1.0,4,L_1_minus_s,0.8197927291889462,S_q
257,55,critical_imag,0.5,1.0,4,difference,1.2869569545088106,S_q_BY_TRIANGLE
257,55,critical_imag,0.5,1.0,4,relative_ratio_minus_identity,4.646266889545156,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_strip,0.75,0.0,1,L_s,3.6632411325077245,DIVERGENT_INFINITE_LIMIT
257,55,right_strip,0.75,0.0,1,L_1_minus_s,19.59089386992206,DIVERGENT_INFINITE_LIMIT
257,55,right_strip,0.75,0.0,1,difference,15.927652737414336,NO_COMMON_S_q_CERTIFICATE
257,55,right_strip,0.75,0.0,1,relative_ratio_minus_identity,489.44738617450787,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_strip,0.75,0.0,2,L_s,0.9124842129334247,S_q
257,55,right_strip,0.75,0.0,2,L_1_minus_s,2.8046701355329473,DIVERGENT_INFINITE_LIMIT
257,55,right_strip,0.75,0.0,2,difference,2.173417010719605,NO_COMMON_S_q_CERTIFICATE
257,55,right_strip,0.75,0.0,2,relative_ratio_minus_identity,72.82928825445833,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_strip,0.75,0.0,4,L_s,0.6465638300934325,S_q
257,55,right_strip,0.75,0.0,4,L_1_minus_s,1.1873491262026568,DIVERGENT_INFINITE_LIMIT
257,55,right_strip,0.75,0.0,4,difference,0.8177355634833751,NO_COMMON_S_q_CERTIFICATE
257,55,right_strip,0.75,0.0,4,relative_ratio_minus_identity,29.69387669958848,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_outer,1.25,0.0,1,L_s,1.2274302905507959,S_q
257,55,right_outer,1.25,0.0,1,L_1_minus_s,168.1475585731829,DIVERGENT_INFINITE_LIMIT
257,55,right_outer,1.25,0.0,1,difference,166.92012828263208,NO_COMMON_S_q_CERTIFICATE
257,55,right_outer,1.25,0.0,1,relative_ratio_minus_identity,80017.47965613328,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_outer,1.25,0.0,2,L_s,0.5231210431200596,S_q
257,55,right_outer,1.25,0.0,2,L_1_minus_s,23.333396370320973,DIVERGENT_INFINITE_LIMIT
257,55,right_outer,1.25,0.0,2,difference,23.25394549952212,NO_COMMON_S_q_CERTIFICATE
257,55,right_outer,1.25,0.0,2,relative_ratio_minus_identity,14268.380918684774,NOT_COMPACT_NO_OPEN_DOMAIN
257,55,right_outer,1.25,0.0,4,L_s,0.43484476759412566,S_q
257,55,right_outer,1.25,0.0,4,L_1_minus_s,8.92253086013047,DIVERGENT_INFINITE_LIMIT
257,55,right_outer,1.25,0.0,4,difference,8.9122437686616,NO_COMMON_S_q_CERTIFICATE
257,55,right_outer,1.25,0.0,4,relative_ratio_minus_identity,6685.056650403132,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_outer,-0.25,0.0,1,L_s,353.64578071457686,DIVERGENT_INFINITE_LIMIT
509,97,left_outer,-0.25,0.0,1,L_1_minus_s,1.2533653532593438,S_q
509,97,left_outer,-0.25,0.0,1,difference,352.3924153613175,NO_COMMON_S_q_CERTIFICATE
509,97,left_outer,-0.25,0.0,1,relative_ratio_minus_identity,96.1614120715732,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_outer,-0.25,0.0,2,L_s,36.955253719630534,DIVERGENT_INFINITE_LIMIT
509,97,left_outer,-0.25,0.0,2,L_1_minus_s,0.5231373374829419,S_q
509,97,left_outer,-0.25,0.0,2,difference,36.90207481476119,NO_COMMON_S_q_CERTIFICATE
509,97,left_outer,-0.25,0.0,2,relative_ratio_minus_identity,9.772286657260999,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_outer,-0.25,0.0,4,L_s,12.253975467478613,DIVERGENT_INFINITE_LIMIT
509,97,left_outer,-0.25,0.0,4,L_1_minus_s,0.4348447676207493,S_q
509,97,left_outer,-0.25,0.0,4,difference,12.248829353324199,NO_COMMON_S_q_CERTIFICATE
509,97,left_outer,-0.25,0.0,4,relative_ratio_minus_identity,3.117889157313679,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_strip,0.25,0.0,1,L_s,29.12361283351135,DIVERGENT_INFINITE_LIMIT
509,97,left_strip,0.25,0.0,1,L_1_minus_s,4.157980182380083,DIVERGENT_INFINITE_LIMIT
509,97,left_strip,0.25,0.0,1,difference,24.965632651131266,NO_COMMON_S_q_CERTIFICATE
509,97,left_strip,0.25,0.0,1,relative_ratio_minus_identity,86.96484491985973,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_strip,0.25,0.0,2,L_s,3.1678312897217666,DIVERGENT_INFINITE_LIMIT
509,97,left_strip,0.25,0.0,2,L_1_minus_s,0.9157444667737835,S_q
509,97,left_strip,0.25,0.0,2,difference,2.583102492481493,NO_COMMON_S_q_CERTIFICATE
509,97,left_strip,0.25,0.0,2,relative_ratio_minus_identity,8.889901692407568,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,left_strip,0.25,0.0,4,L_s,1.2038962406883456,DIVERGENT_INFINITE_LIMIT
509,97,left_strip,0.25,0.0,4,L_1_minus_s,0.6465646857487922,S_q
509,97,left_strip,0.25,0.0,4,difference,0.8565464111340719,NO_COMMON_S_q_CERTIFICATE
509,97,left_strip,0.25,0.0,4,relative_ratio_minus_identity,2.856307318681829,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,critical_real,0.5,0.0,1,L_s,10.035155080140273,DIVERGENT_INFINITE_LIMIT
509,97,critical_real,0.5,0.0,1,L_1_minus_s,10.035155080140273,DIVERGENT_INFINITE_LIMIT
509,97,critical_real,0.5,0.0,1,difference,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_real,0.5,0.0,1,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_real,0.5,0.0,2,L_s,1.4493661583435309,DIVERGENT_INFINITE_LIMIT
509,97,critical_real,0.5,0.0,2,L_1_minus_s,1.4493661583435309,DIVERGENT_INFINITE_LIMIT
509,97,critical_real,0.5,0.0,2,difference,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_real,0.5,0.0,2,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_real,0.5,0.0,4,L_s,0.819936624731655,S_q
509,97,critical_real,0.5,0.0,4,L_1_minus_s,0.819936624731655,S_q
509,97,critical_real,0.5,0.0,4,difference,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_real,0.5,0.0,4,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
509,97,critical_imag,0.5,1.0,1,L_s,10.035155080140273,DIVERGENT_INFINITE_LIMIT
509,97,critical_imag,0.5,1.0,1,L_1_minus_s,10.035155080140273,DIVERGENT_INFINITE_LIMIT
509,97,critical_imag,0.5,1.0,1,difference,13.118321107612068,NO_COMMON_S_q_CERTIFICATE
509,97,critical_imag,0.5,1.0,1,relative_ratio_minus_identity,114.23595624458548,NOT_COMPACT_NO_OPEN_DOMAIN
509,97,critical_imag,0.5,1.0,2,L_s,1.4493661583435309,DIVERGENT_INFINITE_LIMIT
509,97,critical_imag,0.5,1.0,2,L_1_minus_s,1.4493661583435309,DIVERGENT_INFINITE_LIMIT
509,97,critical_imag,0.5,1.0,2,difference,2.1724049448262925,NO_COMMON_S_q_CERTIFICATE
