cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
22,R250,2.5,0.0,unsigned,mpmath_100dps,1.872570754183136664803149864855917836864757032000404684312510813716056783516648713196342191414664547,0.0,0.0
22,R300,3.0,0.0,unsigned,numpy_complex128,1.3639621082415463,0.0,1.493220498254341790338315996441143267974e-15
22,R300,3.0,0.0,unsigned,mpmath_50dps,1.3639621082415477932204982543417903383159964411433,0.0,3.202610983433268493294413387306511554249e-50
22,R300,3.0,0.0,unsigned,mpmath_100dps,1.363962108241547793220498254341790338315996441143267973890165667315067055866126934884457509897298982,0.0,0.0
22,R400,4.0,0.0,unsigned,numpy_complex128,1.1105573063597722,0.0,2.406578317854186951633861456796701699792e-16
22,R400,4.0,0.0,unsigned,mpmath_50dps,1.1105573063597724406578317854186951633861456796702,0.0,3.002084303525902202140464727004623460554e-50
22,R400,4.0,0.0,unsigned,mpmath_100dps,1.110557306359772440657831785418695163386145679670169979156964740977978595352729953765394455398698545,0.0,0.0
22,C160_3,1.6,3.0,unsigned,numpy_complex128,0.8653591764338748,-0.051943672196686656,1.108861489861946159845414464982109292775e-15
22,C160_3,1.6,3.0,unsigned,mpmath_50dps,0.8653591764338755069082298277054427303976164192511,-0.051943672196687510315256975266073374636627475866503,2.876992556790061601413956833649678178952e-51
22,C160_3,1.6,3.0,unsigned,mpmath_100dps,0.8653591764338755069082298277054427303976164192510972849209243351370615461124493964062708340237822283,-0.05194367219668751031525697526607337463662747586650204845820653412742524406532350450783217948044269929,0.0
22,C160_9,1.6,9.0,unsigned,numpy_complex128,1.1409055228749854,0.04852134882300313,2.067972584915787667541449624320990711426e-15
22,C160_9,1.6,9.0,unsigned,mpmath_50dps,1.1409055228749873615122843242423775991327946375288,0.04852134882300247503422195630925780557098343185295,6.344868375684073092674656920245770737555e-51
22,C160_9,1.6,9.0,unsigned,mpmath_100dps,1.140905522874987361512284324242377599132794637528806344855061058041367926601384631354918782882429495,0.04852134882300247503422195630925780557098343185294998700158001885482269915642591491011791034288292639,0.0
22,C175_5,1.75,5.0,unsigned,numpy_complex128,0.8962200031751337,0.08837989333376914,4.75188815579604391055105047239809833405e-16
22,C175_5,1.75,5.0,unsigned,mpmath_50dps,0.89622000317513330547757733698300148298528408403716,0.088379893333769404870663660683729258805355185219065,2.582263455470927314900646152148412765623e-51
22,C175_5,1.75,5.0,unsigned,mpmath_100dps,0.8962200031751333054775773369830014829852840840371625602875862795276708738712843466975758583526483816,0.08837989333376940487066366068372925880535518521906533617261786707728263083365604681395155424213578189,0.0
22,C190_11,1.9,11.0,unsigned,numpy_complex128,1.1719871014824401,-0.1401362814253744,7.090779214975062846187062987376646213666e-16
22,C190_11,1.9,11.0,unsigned,mpmath_50dps,1.1719871014824402041718721933908109116220748289386,-0.14013628142537369861585432877973016998728228060641,2.087660822620441367223016556593276996227e-50
22,C190_11,1.9,11.0,unsigned,mpmath_100dps,1.171987101482440204171872193390810911622074828938579615540674072908450348089783292315084677816004675,-0.1401362814253736986158543287797301699872822806064145062832822681953295389251639707160516108242664281,0.0
22,C225_1,2.25,1.0,unsigned,numpy_complex128,0.8623128420856453,-0.5099729816606194,1.432113049211520009325500507920528420158e-16
22,C225_1,2.25,1.0,unsigned,mpmath_50dps,0.86231284208564530446873069695947848886352095602789,-0.50997298166061954314156734917089545258547927521388,2.50351209357401659043591536021866692566e-51
22,C225_1,2.25,1.0,unsigned,mpmath_100dps,0.8623128420856453044687306969594784888635209560278902521108748653547623230158763551116927993631347241,-0.5099729816606195431415673491708954525854792752138775092143991411101315941819197070538990465867537313,0.0
22,C225_7,2.25,7.0,unsigned,numpy_complex128,1.024060071991749,0.10371794395183859,1.050251134231534549431789248183166279488e-15
22,C225_7,2.25,7.0,unsigned,mpmath_50dps,1.0240600719917500497882173404670375062157248522197,0.10371794395183855882078115556541660846912498733018,4.443636929461255072877803914299403710571e-50
22,C225_7,2.25,7.0,unsigned,mpmath_100dps,1.024060071991750049788217340467037506215724852219655597471601408243223396010339552712526597752986858,0.1037179439518385588207811555654166084691249873301782661061452794526191479800299991289631971972599464,0.0
22,C275_3,2.75,3.0,unsigned,numpy_complex128,0.8661385153339869,-0.04652206859463395,8.255044901056221199503118127100320886679e-16
22,C275_3,2.75,3.0,unsigned,mpmath_50dps,0.86613851533398771793022257911903559317907290598845,-0.046522068594633838430227318435565855869401816749284,1.969616405975753182261362059764410954576e-51
22,C275_3,2.75,3.0,unsigned,mpmath_100dps,0.8661385153339877179302225791190355931790729059884480366342347621680060664126891394529977859093505658,-0.04652206859463383843022731843556585586940181674928415679176821793088477743852714256944906825738364819,0.0
22,C325_11,3.25,11.0,unsigned,numpy_complex128,1.0585555738994672,-0.0735201533147527,9.467871190830745235414561756326107141438e-16
22,C325_11,3.25,11.0,unsigned,mpmath_50dps,1.0585555738994662533107321074844805022272404426268,-0.073520153314752686388280095413256572340974705521799,3.473156427177346739460232733171291086148e-50
22,C325_11,3.25,11.0,unsigned,mpmath_100dps,1.05855557389946625331073210748448050222724044262683472974769351365164680413417111840935067182948766,-0.07352015331475268638828009541325657234097470552179935522093014688767834862534255424586397340267627119,0.0
22,R160,1.6,0.0,liouville,numpy_complex128,-1.7465353471316583,0.0,5.977185477727211581024050518941916508265e-16
22,R160,1.6,0.0,liouville,mpmath_50dps,-1.7465353471316588977185477727211581024050518941917,0.0,4.91735319109114712554003380702509522709e-50
22,R160,1.6,0.0,liouville,mpmath_100dps,-1.746535347131658897718547772721158102405051894191650826468089088528744599661929749047729098727509393,0.0,0.0
22,R175,1.75,0.0,liouville,numpy_complex128,-0.7163741590629711,0.0,5.308440532497713902673846460916437378965e-16
22,R175,1.75,0.0,liouville,mpmath_50dps,-0.71637415906297163084405324977139026738464609164374,0.0,2.103497914208952101779478104390939110085e-51
22,R175,1.75,0.0,liouville,mpmath_100dps,-0.716374159062971630844053249771390267384646091643737896502085791047898220521895609060889915428569989,0.0,0.0
22,R190,1.9,0.0,liouville,numpy_complex128,-0.1618845437873882,0.0,6.031176380354763934891239081475235952465e-16
22,R190,1.9,0.0,liouville,mpmath_50dps,-0.1618845437873875968823619645236065108760918524764,0.0,4.753521273168901264987289353225603949604e-51
22,R190,1.9,0.0,liouville,mpmath_100dps,-0.1618845437873875968823619645236065108760918524764047535212731689012649872893532256039496035789780401,0.0,0.0
22,R200,2.0,0.0,liouville,numpy_complex128,0.07118031299739616,0.0,1.298567957455774674161741981381305605549e-15
