role,grid_n,index,window,target,predicted,residual,percent_error
P,320,39,train,121.3701,114.18371176821337,-7.186388231786623,5.921053234517087
P,320,40,train,122.9468,115.72030364717419,-7.226496352825805,5.877742529960767
P,320,41,train,124.2568,116.63552041275337,-7.621279587246633,6.133490953611097
P,320,42,train,127.5166,117.26528966347924,-10.25131033652076,8.039196729304859
P,320,43,train,129.5787,117.77859023623589,-11.800109763764112,9.106519639234005
P,320,44,train,131.0876,119.04485976125659,-12.04274023874342,9.186788253613171
P,320,45,train,133.4977,119.68929836236471,-13.8084016376353,10.34355021669684
P,320,46,train,134.7565,120.4826736882585,-14.273826311741487,10.592310064257745
P,320,47,train,138.116,121.51522453585602,-16.600775464143993,12.019444136916789
P,320,48,train,139.7362,122.09006644027893,-17.646133559721065,12.62817620610913
P,320,49,train,141.1237,122.93398006602592,-18.18971993397409,12.889202829839414
P,320,50,train,143.1118,123.67860445903943,-19.433195540960554,13.57903089819327
P,320,51,train,146.0009,124.2774124312519,-21.723487568748098,14.87900935456432
P,320,52,train,147.4427,125.07417345230444,-22.368526547695566,15.170996290555967
P,320,53,train,150.0515,125.5054720719547,-24.546027928045305,16.358402233929887
P,320,54,train,150.9252,126.37553049228092,-24.549669507719074,16.26611692925971
P,320,55,train,153.0246,127.67222099457531,-25.35237900542468,16.567518559385014
P,320,56,train,156.1129,128.29519850333824,-27.817701496661755,17.81896402966171
P,320,57,train,157.5975,128.8546215567502,-28.742878443249793,18.238156343374605
P,320,58,train,158.8499,129.92469872292526,-28.925201277074734,18.209140375332144
P,320,59,train,161.1889,130.6306818908785,-30.558218109121498,18.958016407532714
P,320,60,train,163.0306,131.33799194136986,-31.692608058630128,19.439668417235865
P,320,61,train,165.5373,132.32644005330866,-33.21085994669133,20.062463231363164
P,320,62,train,167.1844,133.14054673115388,-34.043853268846135,20.363056163640945
P,320,63,train,169.0945,134.0453874222264,-35.0491125777736,20.727529622651
P,320,64,train,169.9119,134.41497419136363,-35.49692580863638,20.891371239234203
P,320,65,train,173.4115,135.18313012977487,-38.22836987022512,22.044887374957906
P,320,66,train,174.7541,135.84012699091315,-38.913973009086845,22.26784550925377
P,320,67,train,176.4414,136.5367738495893,-39.90462615041068,22.616362231545818
P,320,68,train,178.3774,137.1684409515783,-41.20895904842169,23.102118905434036
P,320,69,train,179.9164,138.22969401159617,-41.686705988403844,23.170042302093552
P,320,70,train,182.207,138.75618728765917,-43.45081271234082,23.84695028859529
P,320,71,train,184.8744,139.4438345473991,-45.430565452600916,24.573745987871177
P,320,72,train,185.9589,139.9380774059616,-46.02082259403841,24.747846214426097
P,320,73,train,187.2289,140.48245827230542,-46.74644172769459,24.9675353151648
P,320,74,train,189.4161,141.5961043296265,-47.81999567037349,25.24600372955281
P,320,75,train,192.0266,142.68336515219536,-49.34323484780464,25.696041510813934
P,320,76,train,193.0797,143.11765829702443,-49.96204170297557,25.87638250058166
P,320,77,train,195.2658,143.57765321391182,-51.6881467860882,26.470660395260307
P,320,78,train,196.8764,144.3127124525717,-52.56368754742829,26.698826038787935
P,320,79,train,198.0153,144.81663233765582,-53.19866766234418,26.86593796658348
P,320,80,train,201.2647,145.4347765111439,-55.82992348885611,27.7395506956044
P,320,81,train,202.4935,146.1482577332552,-56.345242266744805,27.825704166674388
P,320,82,train,204.1896,146.82850437383922,-57.36109562616079,28.092075025447322
P,320,83,train,205.3946,147.13943840537323,-58.25516159462677,28.362557532976414
P,320,84,train,207.9062,147.89824560492164,-60.00795439507837,28.862994174814588
