orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-000912,1111212122212,13,1112121222212,False,-189,-106,-41,-23,212,44940,44942,10.713128048036776,44941.9999777491,2.2250901172513517e-05,44941.9999777491,12
MOD-000913,1111212122222,13,1111121212222,False,-129,-23,-28,-5,134,17952,17954,9.795568207214378,17953.999944302104,5.569789479237248e-05,17953.999944302104,22
MOD-000914,1111212211122,13,1121222211222,False,-179,-78,-39,-17,196,38412,38414,10.556177254787123,38413.999973967824,2.6032175786892127e-05,38413.999973967824,8
MOD-000915,1111212211212,13,1121222212122,False,-211,-133,-46,-29,240,57596,57598,10.961243123557502,57597.999982638285,1.7361713953634313e-05,57597.999982638285,18
MOD-000916,1111212211222,13,1112211212222,False,-188,-55,-41,-12,200,39996,39998,10.596584731220968,39997.99997499875,2.5001250078130472e-05,39997.99997499875,20
MOD-000917,1111212212112,13,1121222212212,False,-197,-142,-43,-31,228,51980,51982,10.85865278342226,51981.99998076257,1.923742834769879e-05,51981.99998076257,8
MOD-000918,1111212212122,13,1121211212222,False,-229,-87,-50,-19,248,61500,61502,11.026824973326663,61501.99998374037,1.6259633837344733e-05,61501.99998374037,14
MOD-000919,1111212212212,13,1121121222212,False,-206,-119,-45,-26,232,53820,53822,10.893437584151966,53821.99998142024,1.857976292863899e-05,53821.99998142024,22
MOD-000920,1111212212222,13,1111211212222,False,-151,-32,-33,-7,158,24960,24962,10.125109945873524,24961.99995993911,4.006089262097889e-05,24961.99995993911,22
MOD-000921,1111212221112,13,1112122221222,False,-137,-105,-30,-23,160,25596,25598,10.15026950088962,25597.99996093445,3.9065552055868324e-05,25597.99996093445,16
MOD-000922,1111212221122,13,1112122221122,False,-178,-73,-39,-16,194,37632,37634,10.535663175398534,37633.99997342828,2.6571717083117823e-05,37633.99997342828,20
MOD-000923,1111212221212,13,1112122221212,False,-187,-114,-41,-25,212,44940,44942,10.713128048036776,44941.9999777491,2.2250901172513517e-05,44941.9999777491,12
MOD-000924,1111212221222,13,1112111212222,False,-155,-41,-34,-9,164,26892,26894,10.19965849100124,26893.999962816986,3.7183014850248255e-05,26893.999962816986,16
MOD-000925,1111212222112,13,1111212222122,False,-132,-91,-29,-20,152,23100,23102,10.047674470974922,23101.999956713706,4.328629563993175e-05,23101.999956713706,20
MOD-000926,1111212222122,13,1111212222112,False,-141,-50,-31,-11,152,23100,23102,10.047674470974922,23101.999956713706,4.328629563993175e-05,23101.999956713706,20
MOD-000927,1111212222212,13,1111121222212,False,-109,-59,-24,-13,122,14880,14882,9.607907703442002,14881.99993280473,6.719526975643087e-05,14881.99993280473,4
MOD-000928,1111212222222,13,1111111212222,False,-68,-9,-15,-2,70,4896,4898,8.496582195828777,4897.999795835026,0.00020416497380223287,4897.999795835026,22
MOD-000929,1111221111222,13,1112222112222,False,-129,-40,-29,-9,138,19040,19042,9.85440234208776,19041.999947484506,5.2515492214991965e-05,19041.999947484506,6
MOD-000930,1111221112112,13,1122221221222,False,-151,-111,-34,-25,176,30972,30974,10.34090342083379,30973.99996771486,3.228514241112967e-05,30973.99996771486,4
MOD-000931,1111221112122,13,1121222112222,False,-182,-71,-41,-16,198,39200,39202,10.576483044234516,39201.9999744911,2.5508902623608595e-05,39201.9999744911,19
MOD-000932,1111221112212,13,1122211222212,False,-173,-102,-39,-23,196,38412,38414,10.556177254787123,38413.999973967824,2.6032175786892127e-05,38413.999973967824,8
MOD-000933,1111221112222,13,1111222112222,False,-133,-31,-30,-7,140,19596,19598,9.88318279659215,19597.999948974386,5.1025614991510015e-05,19597.999948974386,8
MOD-000934,1111221121112,13,1122221222122,False,-146,-115,-33,-26,172,29580,29582,10.294921346088582,29581.99996619566,3.3804340515946634e-05,29581.99996619566,10
MOD-000935,1111221121122,13,1122122112222,False,-199,-84,-45,-19,218,47520,47522,10.768948040250155,47521.999978957116,2.1042885409763962e-05,47521.999978957116,32
MOD-000936,1111221121212,13,1122221212122,False,-221,-137,-50,-31,252,63500,63502,11.0588266801998,63501.99998425247,1.5747535514597727e-05,63501.99998425247,8
MOD-000937,1111221121222,13,1112122112222,False,-190,-53,-43,-12,202,40800,40802,10.616486378198003,40801.9999754914,2.4508602534205956e-05,40801.9999754914,30
MOD-000938,1111221122112,13,1122112222122,False,-181,-128,-41,-29,210,44096,44098,10.69416970841837,44097.999977323234,2.2676765397846517e-05,44097.999977323234,20
MOD-000939,1111221122122,13,1121122112222,False,-203,-75,-46,-17,220,48396,48398,10.787213769109965,48397.99997933799,2.066201083571467e-05,48397.99997933799,16
MOD-000940,1111221122212,13,1112211222212,False,-172,-97,-39,-22,194,37632,37634,10.535663175398534,37633.99997342828,2.6571717083117823e-05,37633.99997342828,20
MOD-000941,1111221122222,13,1111122112222,False,-119,-22,-27,-5,124,15372,15374,9.640433045678241,15373.999934955118,6.50448812430621e-05,15373.999934955118,16
MOD-000942,1111221211122,13,1122212112222,False,-180,-79,-41,-18,198,39200,39202,10.576483044234516,39201.9999744911,2.5508902623608595e-05,39201.9999744911,19
MOD-000943,1111221211212,13,1122221212212,False,-215,-136,-49,-31,246,60512,60514,11.010630021934533,60513.9999834749,1.652510163388768e-05,60513.9999834749,12
MOD-000944,1111221211222,13,1112212112222,False,-193,-57,-44,-13,206,42432,42434,10.655705206117705,42433.99997643399,2.356600840258653e-05,42433.99997643399,18
MOD-000945,1111221212112,13,1122221221212,False,-206,-149,-47,-34,240,57596,57598,10.961243123557502,57597.999982638285,1.7361713953634313e-05,57597.999982638285,18
MOD-000946,1111221212122,13,1121212112222,False,-241,-92,-55,-21,262,68640,68642,11.136659871054256,68641.99998543167,1.4568340086422838e-05,68641.99998543167,12
